unnamed: 0,date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,ivt,requests_per_idfa_calc,impressions_per_idfa_calc,idfa_ip_ratio_calc,idfa_ua_ratio_calc,app_category
,,12936.0,12936.0,19.0,13263.0,1.025278293,0.0,0.0,1.0,680.8421053,0.007143,1.025278293135436,0.0,1.0,680.8421052631579,Early IVT
,,13394.0,13394.0,19.0,13708.0,1.023443333,0.0,0.0,1.0,704.9473684,0.006897,1.023443332835598,0.0,1.0,704.9473684210526,Early IVT
,,55797.0,55795.0,21.0,60342.0,1.081455992,0.0,0.0,1.000035846,2657.0,0.001664,1.0814559922576483,0.0,1.0000358455058698,2657.0,Late IVT
,,66294.0,66292.0,19.0,72581.0,1.094835128,0.0,0.0,1.00003017,3489.157895,0.004255,1.0948351283675748,0.0,1.0000301695528873,3489.157894736842,Late IVT
,,78823.0,78822.0,21.0,85521.0,1.084975198,0.0,0.0,1.000012687,3753.47619,0.00464,1.0849751975946107,0.0,1.0000126868133263,3753.4761904761904,Late IVT
,,44541.0,44540.0,22.0,46588.0,1.045957657,0.0,0.0,1.000022452,2024.590909,0.004264,1.0459576569901887,0.0,1.000022451728783,2024.590909090909,Late IVT
,,49957.0,49953.0,22.0,52110.0,1.043097063,0.0,0.0,1.000080075,2270.772727,0.001901,1.0430970634745882,0.0,1.0000800752707546,2270.7727272727275,Late IVT
,,50434.0,50430.0,21.0,52672.0,1.044374827,0.0,0.0,1.000079318,2401.619048,0.0,1.0443748265059285,0.0,1.0000793178663494,2401.6190476190477,No IVT
,,32161.0,32157.0,19.0,33306.0,1.035602127,0.0,0.0,1.00012439,1692.684211,0.005935,1.03560212679954,0.0,1.0001243897129708,1692.6842105263158,Early IVT
,,16401.0,16400.0,18.0,16668.0,1.016279495,0.0,0.0,1.000060976,911.1666667,0.0,1.0162794951527345,0.0,1.000060975609756,911.1666666666666,No IVT
,,18171.0,18171.0,18.0,18438.0,1.014693743,0.0,0.0,1.0,1009.5,0.0,1.0146937427769522,0.0,1.0,1009.5,No IVT
,,12518.0,12518.0,19.0,12631.0,1.009027001,0.0,0.0,1.0,658.8421053,0.007813,1.0090270011183895,0.0,1.0,658.8421052631579,Early IVT
,,37790.0,37788.0,22.0,38887.0,1.029028844,0.0,0.0,1.000052927,1717.727273,0.011364,1.0290288436094204,0.0,1.0000529268550862,1717.7272727272727,Early IVT
,,15328.0,15328.0,18.0,15608.0,1.018267223,0.0,0.0,1.0,851.5555556,0.0,1.018267223382046,0.0,1.0,851.5555555555555,No IVT
,,23243.0,23240.0,21.0,23899.0,1.028223551,0.0,0.0,1.000129088,1106.809524,0.008163,1.0282235511766984,0.0,1.0001290877796902,1106.8095238095239,Early IVT
,,7427.0,7427.0,19.0,7541.0,1.015349401,0.0,0.0,1.0,390.8947368,0.0,1.015349400834792,0.0,1.0,390.89473684210526,No IVT
,,8687.0,8685.0,19.0,8957.0,1.031080926,0.0,0.0,1.000230282,457.2105263,0.0,1.0310809255208933,0.0,1.000230282095567,457.2105263157895,No IVT
,,8527.0,8527.0,18.0,8818.0,1.034126891,0.0,0.0,1.0,473.7222222,0.011111,1.0341268910519525,0.0,1.0,473.72222222222223,Early IVT
,,9002.0,9002.0,18.0,9380.0,1.041990669,0.0,0.0,1.0,500.1111111,0.010638,1.04199066874028,0.0,1.0,500.1111111111111,Early IVT
,,8816.0,8816.0,20.0,9182.0,1.041515426,0.0,0.0,1.0,440.8,0.010638,1.0415154264972777,0.0,1.0,440.8,Early IVT
,,9033.0,9033.0,19.0,9446.0,1.045721244,0.0,0.0,1.0,475.4210526,0.0,1.0457212443263588,0.0,1.0,475.42105263157896,No IVT
,,9124.0,9124.0,18.0,9506.0,1.041867602,0.0,0.0,1.0,506.8888889,0.010989,1.0418676019289785,0.0,1.0,506.8888888888889,Early IVT
,,8834.0,8833.0,18.0,9013.0,1.020262622,0.0,0.0,1.000113212,490.7777778,0.010526,1.0202626216889292,0.0,1.000113211819314,490.77777777777777,Early IVT
,,8585.0,8585.0,17.0,8701.0,1.013511939,0.0,0.0,1.0,505.0,0.0,1.0135119394292371,0.0,1.0,505.0,No IVT
,,8873.0,8873.0,18.0,8986.0,1.012735264,0.0,0.0,1.0,492.9444444,0.0,1.0127352642849092,0.0,1.0,492.94444444444446,No IVT
,,8450.0,8450.0,17.0,8531.0,1.009585799,0.0,0.0,1.0,497.0588235,0.011236,1.009585798816568,0.0,1.0,497.05882352941177,Early IVT
,,10061.0,10061.0,18.0,10180.0,1.01182785,0.0,0.0,1.0,558.9444444,0.017391,1.0118278501143028,0.0,1.0,558.9444444444445,Early IVT
,,8698.0,8698.0,17.0,8780.0,1.009427455,0.0,0.0,1.0,511.6470588,0.0,1.0094274545872615,0.0,1.0,511.6470588235294,No IVT
,,12802.0,12802.0,19.0,12988.0,1.01452898,0.0,0.0,1.0,673.7894737,0.015267,1.0145289798468988,0.0,1.0,673.7894736842105,Early IVT
,,18551.0,18551.0,20.0,18901.0,1.018866907,0.0,0.0,1.0,927.55,0.005263,1.0188669074443426,0.0,1.0,927.55,Late IVT
,,71743.0,71739.0,21.0,76608.0,1.067811494,0.0,0.0,1.000055758,3416.333333,0.002849,1.0678114938042735,0.0,1.0000557576771352,3416.3333333333335,Late IVT
,,82794.0,82786.0,23.0,88391.0,1.067601517,0.0,0.0,1.000096635,3599.73913,0.005599,1.0676015170181414,0.0,1.0000966346966877,3599.7391304347825,Late IVT
,,97985.0,97975.0,21.0,105699.0,1.078726336,0.0,0.0,1.000102067,4665.952381,0.005786,1.078726335663622,0.0,1.0001020668537892,4665.952380952381,Early IVT
,,39069.0,39068.0,19.0,40264.0,1.03058691,0.0,0.0,1.000025596,2056.263158,0.007692,1.0305869103381198,0.0,1.0000255963960274,2056.2631578947367,Early IVT
,,17140.0,17140.0,18.0,17454.0,1.01831972,0.0,0.0,1.0,952.2222222,0.0,1.0183197199533256,0.0,1.0,952.2222222222222,No IVT
,,20597.0,20597.0,18.0,21110.0,1.02490654,0.0,0.0,1.0,1144.277778,0.004525,1.0249065397873476,0.0,1.0,1144.2777777777778,Late IVT
